Commodity,Date,Unit,Minimum,Maximum,Average
Mustard Leaf,2023-03-27,Kg,50,81,65
Coriander,2023-03-27,Kg,171,292,231
Garlic Dry Nepali,2023-03-27,Kg,230,373,301
Garlic Dry Chinese,2023-03-27,Kg,326,412,369
Ginger,2023-03-27,Kg,173,262,217
Chilly Green,2023-03-27,Kg,97,155,126
Capsicum,2023-03-27,Kg,119,174,146
Cucumber(Local),2023-03-27,Kg,77,103,90
Apple(Jholey),2023-03-27,Kg,186,325,255
Banana,2023-03-27,Dozen,110,174,142
Pomegranate,2023-03-27,Kg,277,449,363
Orange(Nepali),2023-03-27,Kg,95,177,136
Papaya(Indian),2023-03-27,Kg,88,145,116
Tomato Big(Nepali),2023-03-28,Kg,52,68,60
Tomato Small(Local),2023-03-28,Kg,37,58,47
Potato Red,2023-03-28,Kg,62,85,73
Potato White,2023-03-28,Kg,51,72,61
Onion Dry (Indian),2023-03-28,Kg,74,109,91
Carrot(Local),2023-03-28,Kg,91,150,120
Cabbage(Local),2023-03-28,Kg,34,58,46
Cauliflower Local,2023-03-28,Kg,59,105,82
Raddish White(Local),2023-03-28,Kg,22,47,34
Brinjal Long,2023-03-28,Kg,54,83,68
Cow pea(Long),2023-03-28,Kg,79,127,103
Green Peas,2023-03-28,Kg,140,184,162
French Bean(Local),2023-03-28,Kg,76,112,94
Bitter Gourd,2023-03-28,Kg,86,143,114
Bottle Gourd,2023-03-28,Kg,44,74,59
Pointed Gourd(Local),2023-03-28,Kg,64,123,93
Snake Gourd,2023-03-28,Kg,61,80,70
Sponge Gourd,2023-03-28,Kg,74,101,87
Pumpkin,2023-03-28,Kg,43,67,55
Squash(Long),2023-03-28,Kg,50,76,63
Okra,2023-03-28,Kg,75,103,89
Arum,2023-03-28,Kg,75,99,87
Barela,2023-03-28,Kg,51,68,59
Radish Red,2023-03-28,Kg,38,52,45
Mushroom(Button),2023-03-28,Kg,408,581,494
Mushroom(Kanya),2023-03-28,Kg,189,236,212
Spinach Leaf,2023-03-28,Kg,108,152,130
Mustard Leaf,2023-03-28,Kg,46,78,62
Coriander,2023-03-28,Kg,180,295,237
Garlic Dry Nepali,2023-03-28,Kg,228,377,302
Garlic Dry Chinese,2023-03-28,Kg,312,416,364
Ginger,2023-03-28,Kg,169,295,232
Chilly Green,2023-03-28,Kg,100,146,123
Capsicum,2023-03-28,Kg,127,177,152
Cucumber(Local),2023-03-28,Kg,74,113,93
Apple(Jholey),2023-03-28,Kg,163,304,233
Banana,2023-03-28,Dozen,119,171,145
Pomegranate,2023-03-28,Kg,290,423,356
Orange(Nepali),2023-03-28,Kg,99,155,127
Papaya(Indian),2023-03-28,Kg,91,142,116
Tomato Big(Nepali),2023-03-29,Kg,50,77,63
Tomato Small(Local),2023-03-29,Kg,35,57,46
Potato Red,2023-03-29,Kg,57,92,74
Potato White,2023-03-29,Kg,47,73,60
Onion Dry (Indian),2023-03-29,Kg,64,121,92
Carrot(Local),2023-03-29,Kg,93,151,122
Cabbage(Local),2023-03-29,Kg,36,59,47
Cauliflower Local,2023-03-29,Kg,60,103,81
Raddish White(Local),2023-03-29,Kg,24,47,35
Brinjal Long,2023-03-29,Kg,50,75,62
Cow pea(Long),2023-03-29,Kg,91,133,112
Green Peas,2023-03-29,Kg,151,180,165
French Bean(Local),2023-03-29,Kg,74,97,85
Bitter Gourd,2023-03-29,Kg,89,162,125
Bottle Gourd,2023-03-29,Kg,49,75,62
Pointed Gourd(Local),2023-03-29,Kg,67,103,85
Snake Gourd,2023-03-29,Kg,57,90,73
Sponge Gourd,2023-03-29,Kg,78,98,88
Pumpkin,2023-03-29,Kg,42,66,54
Squash(Long),2023-03-29,Kg,47,69,58
Okra,2023-03-29,Kg,77,117,97
Arum,2023-03-29,Kg,78,106,92
Barela,2023-03-29,Kg,49,67,58
Radish Red,2023-03-29,Kg,36,54,45
Mushroom(Button),2023-03-29,Kg,402,590,496
Mushroom(Kanya),2023-03-29,Kg,167,243,205
Spinach Leaf,2023-03-29,Kg,108,154,131
Mustard Leaf,2023-03-29,Kg,45,70,57
Coriander,2023-03-29,Kg,181,293,237
Garlic Dry Nepali,2023-03-29,Kg,230,320,275
Garlic Dry Chinese,2023-03-29,Kg,278,409,343
Ginger,2023-03-29,Kg,168,251,209
Chilly Green,2023-03-29,Kg,94,158,126
Capsicum,2023-03-29,Kg,127,176,151
Cucumber(Local),2023-03-29,Kg,70,123,96
Apple(Jholey),2023-03-29,Kg,195,302,248
Banana,2023-03-29,Dozen,108,173,140
Pomegranate,2023-03-29,Kg,305,414,359
Orange(Nepali),2023-03-29,Kg,102,161,131
Papaya(Indian),2023-03-29,Kg,93,143,118
Tomato Big(Nepali),2023-03-30,Kg,47,82,64
Tomato Small(Local),2023-03-30,Kg,39,67,53
Potato Red,2023-03-30,Kg,59,88,73
Potato White,2023-03-30,Kg,47,68,57
Onion Dry (Indian),2023-03-30,Kg,77,106,91
Carrot(Local),2023-03-30,Kg,100,147,123
Cabbage(Local),2023-03-30,Kg,36,59,47
Cauliflower Local,2023-03-30,Kg,59,99,79
Raddish White(Local),2023-03-30,Kg,25,43,34
Brinjal Long,2023-03-30,Kg,53,87,70
Cow pea(Long),2023-03-30,Kg,87,126,106
Green Peas,2023-03-30,Kg,135,190,162
French Bean(Local),2023-03-30,Kg,69,107,88
Bitter Gourd,2023-03-30,Kg,95,163,129
Bottle Gourd,2023-03-30,Kg,51,70,60
Pointed Gourd(Local),2023-03-30,Kg,67,115,91
Snake Gourd,2023-03-30,Kg,64,85,74
Sponge Gourd,2023-03-30,Kg,74,115,94
Pumpkin,2023-03-30,Kg,37,61,49
Squash(Long),2023-03-30,Kg,45,74,59
Okra,2023-03-30,Kg,90,119,104
Arum,2023-03-30,Kg,69,108,88
Barela,2023-03-30,Kg,44,63,53
Radish Red,2023-03-30,Kg,38,61,49
Mushroom(Button),2023-03-30,Kg,429,567,498
Mushroom(Kanya),2023-03-30,Kg,181,259,220
Spinach Leaf,2023-03-30,Kg,97,138,117
Mustard Leaf,2023-03-30,Kg,50,70,60
Coriander,2023-03-30,Kg,194,339,266
Garlic Dry Nepali,2023-03-30,Kg,250,370,310
Garlic Dry Chinese,2023-03-30,Kg,306,394,350
Ginger,2023-03-30,Kg,164,259,211
Chilly Green,2023-03-30,Kg,97,141,119
Capsicum,2023-03-30,Kg,108,185,146
Cucumber(Local),2023-03-30,Kg,74,116,95
Apple(Jholey),2023-03-30,Kg,177,289,233
Banana,2023-03-30,Dozen,109,163,136
Pomegranate,2023-03-30,Kg,294,409,351
Orange(Nepali),2023-03-30,Kg,99,164,131
Papaya(Indian),2023-03-30,Kg,102,151,126
Tomato Big(Nepali),2023-03-31,Kg,49,72,60
Tomato Small(Local),2023-03-31,Kg,33,68,50
Potato Red,2023-03-31,Kg,56,84,70
Potato White,2023-03-31,Kg,49,63,56
Onion Dry (Indian),2023-03-31,Kg,72,102,87
Carrot(Local),2023-03-31,Kg,103,148,125
Cabbage(Local),2023-03-31,Kg,32,58,45
Cauliflower Local,2023-03-31,Kg,60,96,78
Raddish White(Local),2023-03-31,Kg,25,40,32
Brinjal Long,2023-03-31,Kg,54,83,68
Cow pea(Long),2023-03-31,Kg,83,118,100
Green Peas,2023-03-31,Kg,143,177,160
French Bean(Local),2023-03-31,Kg,73,115,94
Bitter Gourd,2023-03-31,Kg,102,159,130
Bottle Gourd,2023-03-31,Kg,48,68,58
Pointed Gourd(Local),2023-03-31,Kg,77,103,90
Snake Gourd,2023-03-31,Kg,55,90,72
Sponge Gourd,2023-03-31,Kg,76,108,92
Pumpkin,2023-03-31,Kg,41,57,49
Squash(Long),2023-03-31,Kg,52,73,62
Okra,2023-03-31,Kg,88,113,100
Arum,2023-03-31,Kg,78,109,93
Barela,2023-03-31,Kg,46,69,57
Radish Red,2023-03-31,Kg,36,55,45
Mushroom(Button),2023-03-31,Kg,439,610,524
Mushroom(Kanya),2023-03-31,Kg,181,243,212
Spinach Leaf,2023-03-31,Kg,112,164,138
Mustard Leaf,2023-03-31,Kg,44,69,56
Coriander,2023-03-31,Kg,193,329,261
Garlic Dry Nepali,2023-03-31,Kg,256,375,315
Garlic Dry Chinese,2023-03-31,Kg,293,396,344
Ginger,2023-03-31,Kg,196,294,245
Chilly Green,2023-03-31,Kg,89,154,121
Capsicum,2023-03-31,Kg,124,179,151
Cucumber(Local),2023-03-31,Kg,76,121,98
Apple(Jholey),2023-03-31,Kg,182,309,245
Banana,2023-03-31,Dozen,121,191,156
Pomegranate,2023-03-31,Kg,312,427,369
Orange(Nepali),2023-03-31,Kg,94,177,135
Papaya(Indian),2023-03-31,Kg,99,130,114
Tomato Big(Nepali),2023-04-01,Kg,44,74,59
Tomato Small(Local),2023-04-01,Kg,34,64,49
Potato Red,2023-04-01,Kg,63,86,74
Potato White,2023-04-01,Kg,43,65,54
Onion Dry (Indian),2023-04-01,Kg,77,123,100
Carrot(Local),2023-04-01,Kg,104,136,120
Cabbage(Local),2023-04-01,Kg,39,57,48
Cauliflower Local,2023-04-01,Kg,60,109,84
Raddish White(Local),2023-04-01,Kg,25,48,36
Brinjal Long,2023-04-01,Kg,58,83,70
Cow pea(Long),2023-04-01,Kg,77,136,106
Green Peas,2023-04-01,Kg,156,202,179
French Bean(Local),2023-04-01,Kg,73,102,87
Bitter Gourd,2023-04-01,Kg,90,150,120
Bottle Gourd,2023-04-01,Kg,44,73,58
Pointed Gourd(Local),2023-04-01,Kg,77,107,92
Snake Gourd,2023-04-01,Kg,60,91,75
Sponge Gourd,2023-04-01,Kg,65,102,83
Pumpkin,2023-04-01,Kg,43,67,55
Squash(Long),2023-04-01,Kg,45,75,60
Okra,2023-04-01,Kg,91,122,106
Arum,2023-04-01,Kg,78,95,86
Barela,2023-04-01,Kg,44,69,56
Radish Red,2023-04-01,Kg,39,61,50
Mushroom(Button),2023-04-01,Kg,427,565,496
Mushroom(Kanya),2023-04-01,Kg,174,271,222
Spinach Leaf,2023-04-01,Kg,107,153,130
Mustard Leaf,2023-04-01,Kg,49,71,60
Coriander,2023-04-01,Kg,182,333,257
Garlic Dry Nepali,2023-04-01,Kg,255,359,307
Garlic Dry Chinese,2023-04-01,Kg,298,381,339
Ginger,2023-04-01,Kg,191,286,238
Chilly Green,2023-04-01,Kg,96,150,123
Capsicum,2023-04-01,Kg,119,180,149
Cucumber(Local),2023-04-01,Kg,69,103,86
Apple(Jholey),2023-04-01,Kg,166,320,243
Banana,2023-04-01,Dozen,129,175,152
Pomegranate,2023-04-01,Kg,297,476,386
Orange(Nepali),2023-04-01,Kg,97,176,136
Papaya(Indian),2023-04-01,Kg,94,150,122
Tomato Big(Nepali),2023-04-02,Kg,46,75,60
Tomato Small(Local),2023-04-02,Kg,33,57,45
Potato Red,2023-04-02,Kg,57,94,75
Potato White,2023-04-02,Kg,51,73,62
Onion Dry (Indian),2023-04-02,Kg,70,117,93
Carrot(Local),2023-04-02,Kg,105,135,120
Cabbage(Local),2023-04-02,Kg,35,60,47
Cauliflower Local,2023-04-02,Kg,63,103,83
Raddish White(Local),2023-04-02,Kg,25,42,33
Brinjal Long,2023-04-02,Kg,52,87,69
Cow pea(Long),2023-04-02,Kg,88,129,108
Green Peas,2023-04-02,Kg,153,175,164
French Bean(Local),2023-04-02,Kg,71,107,89
Bitter Gourd,2023-04-02,Kg,87,145,116
Bottle Gourd,2023-04-02,Kg,45,76,60
Pointed Gourd(Local),2023-04-02,Kg,69,108,88
Snake Gourd,2023-04-02,Kg,62,94,78
Sponge Gourd,2023-04-02,Kg,75,101,88
Pumpkin,2023-04-02,Kg,44,62,53
Squash(Long),2023-04-02,Kg,47,68,57
Okra,2023-04-02,Kg,88,104,96
Arum,2023-04-02,Kg,70,103,86
Barela,2023-04-02,Kg,51,69,60
Radish Red,2023-04-02,Kg,37,57,47
Mushroom(Button),2023-04-02,Kg,406,538,472
Mushroom(Kanya),2023-04-02,Kg,189,272,230
Spinach Leaf,2023-04-02,Kg,97,162,129
Mustard Leaf,2023-04-02,Kg,52,73,62
Coriander,2023-04-02,Kg,194,340,267
Garlic Dry Nepali,2023-04-02,Kg,254,339,296
Garlic Dry Chinese,2023-04-02,Kg,324,434,379
Ginger,2023-04-02,Kg,180,281,230
Chilly Green,2023-04-02,Kg,105,145,125
Capsicum,2023-04-02,Kg,126,164,145
Cucumber(Local),2023-04-02,Kg,71,121,96
Apple(Jholey),2023-04-02,Kg,171,308,239
Banana,2023-04-02,Dozen,113,172,142
Pomegranate,2023-04-02,Kg,300,417,358
Orange(Nepali),2023-04-02,Kg,91,171,131
Papaya(Indian),2023-04-02,Kg,101,132,116
Tomato Big(Nepali),2023-04-03,Kg,51,75,63
Tomato Small(Local),2023-04-03,Kg,36,65,50
Potato Red,2023-04-03,Kg,57,88,72
Potato White,2023-04-03,Kg,47,63,55
Onion Dry (Indian),2023-04-03,Kg,66,102,84
Carrot(Local),2023-04-03,Kg,102,131,116
Cabbage(Local),2023-04-03,Kg,39,59,49
Cauliflower Local,2023-04-03,Kg,59,105,82
Raddish White(Local),2023-04-03,Kg,24,42,33
Brinjal Long,2023-04-03,Kg,58,86,72
Cow pea(Long),2023-04-03,Kg,90,127,108
Green Peas,2023-04-03,Kg,145,188,166
French Bean(Local),2023-04-03,Kg,68,98,83
Bitter Gourd,2023-04-03,Kg,103,157,130
Bottle Gourd,2023-04-03,Kg,51,70,60
Pointed Gourd(Local),2023-04-03,Kg,75,120,97
Snake Gourd,2023-04-03,Kg,65,88,76
Sponge Gourd,2023-04-03,Kg,73,112,92
Pumpkin,2023-04-03,Kg,42,66,54
Squash(Long),2023-04-03,Kg,44,82,63
Okra,2023-04-03,Kg,80,112,96
Arum,2023-04-03,Kg,74,94,84
Barela,2023-04-03,Kg,47,71,59
Radish Red,2023-04-03,Kg,34,56,45
Mushroom(Button),2023-04-03,Kg,437,603,520
Mushroom(Kanya),2023-04-03,Kg,194,252,223
Spinach Leaf,2023-04-03,Kg,99,157,128
Mustard Leaf,2023-04-03,Kg,48,74,61
Coriander,2023-04-03,Kg,178,336,257
Garlic Dry Nepali,2023-04-03,Kg,257,341,299
Garlic Dry Chinese,2023-04-03,Kg,282,380,331
Ginger,2023-04-03,Kg,177,295,236
Chilly Green,2023-04-03,Kg,96,164,130
Capsicum,2023-04-03,Kg,109,186,147
Cucumber(Local),2023-04-03,Kg,72,104,88
Apple(Jholey),2023-04-03,Kg,176,340,258
Banana,2023-04-03,Dozen,115,183,149
Pomegranate,2023-04-03,Kg,303,457,380
Orange(Nepali),2023-04-03,Kg,97,178,137
Papaya(Indian),2023-04-03,Kg,105,142,123
Tomato Big(Nepali),2023-04-04,Kg,44,78,61
Tomato Small(Local),2023-04-04,Kg,34,68,51
Potato Red,2023-04-04,Kg,54,83,68
Potato White,2023-04-04,Kg,48,64,56
Onion Dry (Indian),2023-04-04,Kg,78,105,91
Carrot(Local),2023-04-04,Kg,104,142,123
Cabbage(Local),2023-04-04,Kg,32,61,46
Cauliflower Local,2023-04-04,Kg,63,102,82
Raddish White(Local),2023-04-04,Kg,22,47,34
Brinjal Long,2023-04-04,Kg,57,83,70
Cow pea(Long),2023-04-04,Kg,92,128,110
Green Peas,2023-04-04,Kg,148,201,174
French Bean(Local),2023-04-04,Kg,72,107,89
Bitter Gourd,2023-04-04,Kg,96,147,121
Bottle Gourd,2023-04-04,Kg,47,73,60
Pointed Gourd(Local),2023-04-04,Kg,71,121,96
Snake Gourd,2023-04-04,Kg,61,92,76
Sponge Gourd,2023-04-04,Kg,74,112,93
Pumpkin,2023-04-04,Kg,38,58,48
Squash(Long),2023-04-04,Kg,46,71,58
Okra,2023-04-04,Kg,82,122,102
Arum,2023-04-04,Kg,71,110,90
Barela,2023-04-04,Kg,44,66,55
Radish Red,2023-04-04,Kg,34,51,42
Mushroom(Button),2023-04-04,Kg,460,608,534
Mushroom(Kanya),2023-04-04,Kg,185,268,226
Spinach Leaf,2023-04-04,Kg,112,164,138
Mustard Leaf,2023-04-04,Kg,43,78,60
Coriander,2023-04-04,Kg,173,309,241
Garlic Dry Nepali,2023-04-04,Kg,229,325,277
Garlic Dry Chinese,2023-04-04,Kg,270,408,339
Ginger,2023-04-04,Kg,188,250,219
Chilly Green,2023-04-04,Kg,98,158,128
Capsicum,2023-04-04,Kg,117,188,152
Cucumber(Local),2023-04-04,Kg,68,115,91
Apple(Jholey),2023-04-04,Kg,192,323,257
Banana,2023-04-04,Dozen,117,186,151
Pomegranate,2023-04-04,Kg,293,481,387
Orange(Nepali),2023-04-04,Kg,92,175,133
Papaya(Indian),2023-04-04,Kg,100,144,122
Tomato Big(Nepali),2023-04-05,Kg,47,69,58
Tomato Small(Local),2023-04-05,Kg,37,61,49
Potato Red,2023-04-05,Kg,60,91,75
Potato White,2023-04-05,Kg,52,63,57
Onion Dry (Indian),2023-04-05,Kg,70,107,88
Carrot(Local),2023-04-05,Kg,103,139,121
Cabbage(Local),2023-04-05,Kg,36,54,45
Cauliflower Local,2023-04-05,Kg,55,99,77
Raddish White(Local),2023-04-05,Kg,23,47,35
Brinjal Long,2023-04-05,Kg,54,87,70
Cow pea(Long),2023-04-05,Kg,81,126,103
Green Peas,2023-04-05,Kg,132,186,159
French Bean(Local),2023-04-05,Kg,78,98,88
Bitter Gourd,2023-04-05,Kg,95,140,117
Bottle Gourd,2023-04-05,Kg,49,79,64
Pointed Gourd(Local),2023-04-05,Kg,65,120,92
Snake Gourd,2023-04-05,Kg,60,80,70
Sponge Gourd,2023-04-05,Kg,65,106,85
Pumpkin,2023-04-05,Kg,43,61,52
Squash(Long),2023-04-05,Kg,47,79,63
Okra,2023-04-05,Kg,91,114,102
Arum,2023-04-05,Kg,66,105,85
Barela,2023-04-05,Kg,49,63,56
Radish Red,2023-04-05,Kg,36,51,43
Mushroom(Button),2023-04-05,Kg,448,516,482
Mushroom(Kanya),2023-04-05,Kg,173,238,205
Spinach Leaf,2023-04-05,Kg,111,142,126
Mustard Leaf,2023-04-05,Kg,46,70,58
Coriander,2023-04-05,Kg,165,326,245
Garlic Dry Nepali,2023-04-05,Kg,236,339,287
Garlic Dry Chinese,2023-04-05,Kg,290,402,346
Ginger,2023-04-05,Kg,190,271,230
Chilly Green,2023-04-05,Kg,101,162,131
Capsicum,2023-04-05,Kg,121,190,155
Cucumber(Local),2023-04-05,Kg,73,118,95
Apple(Jholey),2023-04-05,Kg,185,332,258
Banana,2023-04-05,Dozen,112,189,150
Pomegranate,2023-04-05,Kg,303,399,351
Orange(Nepali),2023-04-05,Kg,97,155,126
Papaya(Indian),2023-04-05,Kg,97,128,112
Tomato Big(Nepali),2023-04-06,Kg,45,82,63
Tomato Small(Local),2023-04-06,Kg,33,65,49
Potato Red,2023-04-06,Kg,64,92,78
Potato White,2023-04-06,Kg,51,67,59
Onion Dry (Indian),2023-04-06,Kg,67,122,94
Carrot(Local),2023-04-06,Kg,86,147,116
Cabbage(Local),2023-04-06,Kg,37,53,45
Cauliflower Local,2023-04-06,Kg,64,97,80
Raddish White(Local),2023-04-06,Kg,24,39,31
Brinjal Long,2023-04-06,Kg,52,77,64
Cow pea(Long),2023-04-06,Kg,78,132,105
Green Peas,2023-04-06,Kg,152,186,169
French Bean(Local),2023-04-06,Kg,72,109,90
Bitter Gourd,2023-04-06,Kg,98,162,130
Bottle Gourd,2023-04-06,Kg,48,81,64
Pointed Gourd(Local),2023-04-06,Kg,68,120,94
Snake Gourd,2023-04-06,Kg,57,91,74
Sponge Gourd,2023-04-06,Kg,75,99,87
Pumpkin,2023-04-06,Kg,41,62,51
Squash(Long),2023-04-06,Kg,51,69,60
Okra,2023-04-06,Kg,78,105,91
Arum,2023-04-06,Kg,65,97,81
Barela,2023-04-06,Kg,43,65,54
Radish Red,2023-04-06,Kg,38,58,48
Mushroom(Button),2023-04-06,Kg,408,551,479
Mushroom(Kanya),2023-04-06,Kg,178,248,213
Spinach Leaf,2023-04-06,Kg,103,159,131
Mustard Leaf,2023-04-06,Kg,51,72,61
Coriander,2023-04-06,Kg,174,312,243
Garlic Dry Nepali,2023-04-06,Kg,226,342,284
Garlic Dry Chinese,2023-04-06,Kg,296,368,332
Ginger,2023-04-06,Kg,173,278,225
Chilly Green,2023-04-06,Kg,92,139,115
Capsicum,2023-04-06,Kg,124,179,151
Cucumber(Local),2023-04-06,Kg,77,122,99
Apple(Jholey),2023-04-06,Kg,189,327,258
Banana,2023-04-06,Dozen,111,175,143
Pomegranate,2023-04-06,Kg,287,475,381
Orange(Nepali),2023-04-06,Kg,101,157,129
Papaya(Indian),2023-04-06,Kg,93,132,112
Tomato Big(Nepali),2023-04-07,Kg,46,69,57
Tomato Small(Local),2023-04-07,Kg,38,64,51
Potato Red,2023-04-07,Kg,61,96,78
Potato White,2023-04-07,Kg,51,66,58
Onion Dry (Indian),2023-04-07,Kg,76,119,97
Carrot(Local),2023-04-07,Kg,91,139,115
Cabbage(Local),2023-04-07,Kg,37,54,45
Cauliflower Local,2023-04-07,Kg,55,105,80
Raddish White(Local),2023-04-07,Kg,26,43,34
Brinjal Long,2023-04-07,Kg,57,89,73
Cow pea(Long),2023-04-07,Kg,89,125,107
Green Peas,2023-04-07,Kg,144,175,159
French Bean(Local),2023-04-07,Kg,68,101,84
Bitter Gourd,2023-04-07,Kg,96,156,126
Bottle Gourd,2023-04-07,Kg,43,70,56
Pointed Gourd(Local),2023-04-07,Kg,70,114,92
Snake Gourd,2023-04-07,Kg,59,93,76
Sponge Gourd,2023-04-07,Kg,67,103,85
Pumpkin,2023-04-07,Kg,41,65,53
Squash(Long),2023-04-07,Kg,46,76,61
Okra,2023-04-07,Kg,85,108,96
Arum,2023-04-07,Kg,75,108,91
Barela,2023-04-07,Kg,46,70,58
Radish Red,2023-04-07,Kg,37,60,48
Mushroom(Button),2023-04-07,Kg,416,589,502
Mushroom(Kanya),2023-04-07,Kg,181,249,215
Spinach Leaf,2023-04-07,Kg,98,163,130
Mustard Leaf,2023-04-07,Kg,50,73,61
Coriander,2023-04-07,Kg,164,329,246
Garlic Dry Nepali,2023-04-07,Kg,251,372,311
Garlic Dry Chinese,2023-04-07,Kg,306,371,338
Ginger,2023-04-07,Kg,190,252,221
Chilly Green,2023-04-07,Kg,100,151,125
Capsicum,2023-04-07,Kg,115,170,142
Cucumber(Local),2023-04-07,Kg,71,113,92
Apple(Jholey),2023-04-07,Kg,181,308,244
Banana,2023-04-07,Dozen,114,170,142
Pomegranate,2023-04-07,Kg,295,401,348
Orange(Nepali),2023-04-07,Kg,93,159,126
Papaya(Indian),2023-04-07,Kg,95,147,121
Tomato Big(Nepali),2023-04-08,Kg,45,79,62
Tomato Small(Local),2023-04-08,Kg,37,63,50
Potato Red,2023-04-08,Kg,56,90,73
Potato White,2023-04-08,Kg,47,65,56
Onion Dry (Indian),2023-04-08,Kg,69,106,87
Carrot(Local),2023-04-08,Kg,89,148,118
Cabbage(Local),2023-04-08,Kg,32,53,42
Cauliflower Local,2023-04-08,Kg,55,97,76
Raddish White(Local),2023-04-08,Kg,24,44,34
Brinjal Long,2023-04-08,Kg,51,76,63
Cow pea(Long),2023-04-08,Kg,81,131,106
Green Peas,2023-04-08,Kg,139,180,159
French Bean(Local),2023-04-08,Kg,64,108,86
Bitter Gourd,2023-04-08,Kg,96,146,121
Bottle Gourd,2023-04-08,Kg,43,81,62
Pointed Gourd(Local),2023-04-08,Kg,75,109,92
Snake Gourd,2023-04-08,Kg,62,94,78
Sponge Gourd,2023-04-08,Kg,71,106,88
Pumpkin,2023-04-08,Kg,41,68,54
Squash(Long),2023-04-08,Kg,51,75,63
Okra,2023-04-08,Kg,90,108,99
Arum,2023-04-08,Kg,70,105,87
Barela,2023-04-08,Kg,51,68,59
Radish Red,2023-04-08,Kg,33,59,46
Mushroom(Button),2023-04-08,Kg,427,552,489
Mushroom(Kanya),2023-04-08,Kg,165,275,220
Spinach Leaf,2023-04-08,Kg,97,160,128
Mustard Leaf,2023-04-08,Kg,44,72,58
Coriander,2023-04-08,Kg,162,339,250
Garlic Dry Nepali,2023-04-08,Kg,253,323,288
Garlic Dry Chinese,2023-04-08,Kg,284,413,348
Ginger,2023-04-08,Kg,164,281,222
Chilly Green,2023-04-08,Kg,89,153,121
Capsicum,2023-04-08,Kg,109,178,143
Cucumber(Local),2023-04-08,Kg,75,113,94
Apple(Jholey),2023-04-08,Kg,171,299,235
Banana,2023-04-08,Dozen,129,174,151
Pomegranate,2023-04-08,Kg,304,440,372
Orange(Nepali),2023-04-08,Kg,93,155,124
Papaya(Indian),2023-04-08,Kg,97,136,116
Tomato Big(Nepali),2023-04-09,Kg,44,79,61
Tomato Small(Local),2023-04-09,Kg,38,65,51
Potato Red,2023-04-09,Kg,64,85,74
Potato White,2023-04-09,Kg,51,74,62
Onion Dry (Indian),2023-04-09,Kg,73,119,96
Carrot(Local),2023-04-09,Kg,102,129,115
Cabbage(Local),2023-04-09,Kg,38,57,47
Cauliflower Local,2023-04-09,Kg,61,106,83
Raddish White(Local),2023-04-09,Kg,23,40,31
Brinjal Long,2023-04-09,Kg,49,77,63
Cow pea(Long),2023-04-09,Kg,91,129,110
Green Peas,2023-04-09,Kg,137,206,171
French Bean(Local),2023-04-09,Kg,73,109,91
Bitter Gourd,2023-04-09,Kg,91,163,127
Bottle Gourd,2023-04-09,Kg,46,80,63
Pointed Gourd(Local),2023-04-09,Kg,78,115,96
Snake Gourd,2023-04-09,Kg,56,94,75
Sponge Gourd,2023-04-09,Kg,72,103,87
Pumpkin,2023-04-09,Kg,41,64,52
Squash(Long),2023-04-09,Kg,43,76,59
Okra,2023-04-09,Kg,81,104,92
Arum,2023-04-09,Kg,75,107,91
Barela,2023-04-09,Kg,47,72,59
Radish Red,2023-04-09,Kg,36,53,44
Mushroom(Button),2023-04-09,Kg,434,566,500
Mushroom(Kanya),2023-04-09,Kg,165,272,218
Spinach Leaf,2023-04-09,Kg,103,142,122
Mustard Leaf,2023-04-09,Kg,44,69,56
Coriander,2023-04-09,Kg,168,320,244
Garlic Dry Nepali,2023-04-09,Kg,216,353,284
Garlic Dry Chinese,2023-04-09,Kg,279,374,326
Ginger,2023-04-09,Kg,190,268,229
Chilly Green,2023-04-09,Kg,91,150,120
Capsicum,2023-04-09,Kg,113,181,147
Cucumber(Local),2023-04-09,Kg,67,107,87
Apple(Jholey),2023-04-09,Kg,185,336,260
Banana,2023-04-09,Dozen,130,182,156
Pomegranate,2023-04-09,Kg,296,437,366
Orange(Nepali),2023-04-09,Kg,95,157,126
Papaya(Indian),2023-04-09,Kg,98,143,120
Tomato Big(Nepali),2023-04-10,Kg,48,69,58
Tomato Small(Local),2023-04-10,Kg,36,60,48
Potato Red,2023-04-10,Kg,58,93,75
Potato White,2023-04-10,Kg,46,66,56
Onion Dry (Indian),2023-04-10,Kg,78,104,91
Carrot(Local),2023-04-10,Kg,93,135,114
Cabbage(Local),2023-04-10,Kg,35,61,48
Cauliflower Local,2023-04-10,Kg,57,103,80
Raddish White(Local),2023-04-10,Kg,24,47,35
Brinjal Long,2023-04-10,Kg,48,84,66
Cow pea(Long),2023-04-10,Kg,84,124,104
Green Peas,2023-04-10,Kg,137,203,170
French Bean(Local),2023-04-10,Kg,75,109,92
Bitter Gourd,2023-04-10,Kg,98,139,118
Bottle Gourd,2023-04-10,Kg,50,80,65
Pointed Gourd(Local),2023-04-10,Kg,72,107,89
Snake Gourd,2023-04-10,Kg,56,88,72
Sponge Gourd,2023-04-10,Kg,76,117,96
Pumpkin,2023-04-10,Kg,39,63,51
Squash(Long),2023-04-10,Kg,47,79,63
Okra,2023-04-10,Kg,78,113,95
Arum,2023-04-10,Kg,74,101,87
Barela,2023-04-10,Kg,43,70,56
Radish Red,2023-04-10,Kg,37,60,48
Mushroom(Button),2023-04-10,Kg,399,548,473
